Date	Time	Step	Mass (g)	Uair (kPa)
7/25/2019	8:01:16 AM	Large increment	24.257672312500002	290.0
7/25/2019	9:41:17 AM	Large increment	24.354110885416667	290.0
7/25/2019	11:31:19 AM	Large increment	24.45119428125	290.0
7/25/2019	1:31:21 PM	Large increment	24.548921427083336	290.0
7/25/2019	3:36:24 PM	Large increment	24.646971520833336	290.0
7/25/2019	5:46:25 PM	Large increment	24.745341343750002	290.0
7/25/2019	8:01:28 PM	Large increment	24.8440351875	290.0
7/25/2019	10:31:31 PM	Large increment	24.933694656249997	290.0
7/26/2019	12:51:34 AM	Large increment	25.022710375000003	290.0
7/26/2019	3:16:37 AM	Large increment	25.117508142088834	290.0
7/26/2019	3:51:38 AM	Large increment	25.214302166666666	290.0
