 ******* Program HYDRUS
 ******* 
 Esperance                                                               
 Date:  31. 7.2019    Time:  14:44:26
 Units: L = cm   , T = sec  , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

    3035.0000  0.00000E+00  0.00000E+00 -0.40079E-09  0.00000E+00 -0.91094E-06  0.00000E+00  0.00000E+00 -0.16713E-06  0.00000E+00 -0.67873E-02 -0.38518E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13840E+01  0.00000E+00  0.15375E-06     60  0.00000E+00      0.000
    3235.0000  0.00000E+00  0.00000E+00 -0.71264E-10  0.00000E+00 -0.83121E-06  0.00000E+00  0.00000E+00 -0.18139E-06  0.00000E+00 -0.69535E-02 -0.39050E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13838E+01  0.00000E+00  0.15375E-06     61  0.00000E+00      0.000
    3435.0000  0.00000E+00  0.00000E+00 -0.25635E-09  0.00000E+00 -0.76013E-06  0.00000E+00  0.00000E+00 -0.23266E-06  0.00000E+00 -0.71055E-02 -0.39524E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13837E+01  0.00000E+00  0.15375E-06     62  0.00000E+00      0.000
    3636.0000  0.00000E+00  0.00000E+00 -0.19444E-09  0.00000E+00 -0.69613E-06  0.00000E+00  0.00000E+00 -0.27174E-06  0.00000E+00 -0.72455E-02 -0.39952E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13835E+01  0.00000E+00  0.15375E-06     63  0.00000E+00      0.000
    3836.0000  0.00000E+00  0.00000E+00  0.73249E-10  0.00000E+00 -0.63880E-06  0.00000E+00  0.00000E+00 -0.25709E-06  0.00000E+00 -0.73732E-02 -0.40335E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13834E+01  0.00000E+00  0.16840E-06     64  0.00000E+00      0.000
    4036.0000  0.00000E+00  0.00000E+00 -0.29742E-09  0.00000E+00 -0.58703E-06  0.00000E+00  0.00000E+00 -0.31657E-06  0.00000E+00 -0.74906E-02 -0.40681E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13833E+01  0.00000E+00  0.16840E-06     65  0.00000E+00      0.000
    4236.0000  0.00000E+00  0.00000E+00  0.27187E-09  0.00000E+00 -0.54012E-06  0.00000E+00  0.00000E+00 -0.26220E-06  0.00000E+00 -0.75986E-02 -0.40995E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13832E+01  0.00000E+00  0.22278E-06     66  0.00000E+00      0.000
    4437.0000  0.00000E+00  0.00000E+00  0.22405E-09  0.00000E+00 -0.49695E-06  0.00000E+00  0.00000E+00 -0.21716E-06  0.00000E+00 -0.76985E-02 -0.41283E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13831E+01  0.00000E+00  0.26781E-06     67  0.00000E+00      0.000
    4637.0000  0.00000E+00  0.00000E+00  0.28810E-09  0.00000E+00 -0.45742E-06  0.00000E+00  0.00000E+00 -0.15954E-06  0.00000E+00 -0.77900E-02 -0.41548E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13830E+01  0.00000E+00  0.32543E-06     68  0.00000E+00      0.000
    4837.0000  0.00000E+00  0.00000E+00 -0.40127E-09  0.00000E+00 -0.42105E-06  0.00000E+00  0.00000E+00 -0.23980E-06  0.00000E+00 -0.78742E-02 -0.41790E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13829E+01  0.00000E+00  0.32543E-06     69  0.00000E+00      0.000
    5037.0000  0.00000E+00  0.00000E+00 -0.22080E-09  0.00000E+00 -0.38758E-06  0.00000E+00  0.00000E+00 -0.28396E-06  0.00000E+00 -0.79517E-02 -0.42014E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13828E+01  0.00000E+00  0.32543E-06     70  0.00000E+00      0.000
    5238.0000  0.00000E+00  0.00000E+00  0.81037E-11  0.00000E+00 -0.35665E-06  0.00000E+00  0.00000E+00 -0.28233E-06  0.00000E+00 -0.80234E-02 -0.42221E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13828E+01  0.00000E+00  0.32706E-06     71  0.00000E+00      0.000
    5438.0000  0.00000E+00  0.00000E+00  0.28482E-09  0.00000E+00 -0.32830E-06  0.00000E+00  0.00000E+00 -0.22537E-06  0.00000E+00 -0.80891E-02 -0.42410E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13827E+01  0.00000E+00  0.38402E-06     72  0.00000E+00      0.000
    5638.0000  0.00000E+00  0.00000E+00 -0.21943E-09  0.00000E+00 -0.30219E-06  0.00000E+00  0.00000E+00 -0.26925E-06  0.00000E+00 -0.81495E-02 -0.42584E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13826E+01  0.00000E+00  0.38402E-06     73  0.00000E+00      0.000
    5839.0000  0.00000E+00  0.00000E+00  0.12451E-09  0.00000E+00 -0.27805E-06  0.00000E+00  0.00000E+00 -0.24423E-06  0.00000E+00 -0.82054E-02 -0.42746E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13826E+01  0.00000E+00  0.40905E-06     74  0.00000E+00      0.000
    6039.0000  0.00000E+00  0.00000E+00 -0.29705E-09  0.00000E+00 -0.25593E-06  0.00000E+00  0.00000E+00 -0.30364E-06  0.00000E+00 -0.82566E-02 -0.42893E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13825E+01  0.00000E+00  0.40905E-06     75  0.00000E+00      0.000
    6239.0000  0.00000E+00  0.00000E+00  0.12941E-09  0.00000E+00 -0.23560E-06  0.00000E+00  0.00000E+00 -0.27775E-06  0.00000E+00 -0.83037E-02 -0.43029E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13825E+01  0.00000E+00  0.43493E-06     76  0.00000E+00      0.000
    6439.0000  0.00000E+00  0.00000E+00 -0.24354E-09  0.00000E+00 -0.21687E-06  0.00000E+00  0.00000E+00 -0.32646E-06  0.00000E+00 -0.83471E-02 -0.43154E+02  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13824E+01  0.00000E+00  0.43493E-06     77  0.00000E+00      0.000
